/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:48:34,544 - INFO - Starting Genosys product scraping...
2025-09-15 12:48:34,544 - INFO - Fetching: https://nurederm.com/urunler/genosys/all
2025-09-15 12:48:34,786 - INFO - Found 60 products
2025-09-15 12:48:34,786 - INFO - Found 60 products to scrape
2025-09-15 12:48:34,786 - INFO - Processing product 1/60: GENOSYS HR³ MATRIX SCALP BRUSH
2025-09-15 12:48:34,787 - INFO - Fetching: https://nurederm.com/urun/genosys-hr3-matrix-scalp-brush
2025-09-15 12:48:35,047 - INFO - Downloaded: GENOSYS-HR³-MATRIX-SCALP-BRUSH-1.jpg
2025-09-15 12:48:35,067 - INFO - Downloaded: GENOSYS-HR³-MATRIX-SCALP-BRUSH-2.jpg
2025-09-15 12:48:35,111 - INFO - Downloaded: GENOSYS-HR³-MATRIX-SCALP-BRUSH-3.jpg
2025-09-15 12:48:35,138 - INFO - Downloaded: GENOSYS-HR³-MATRIX-SCALP-BRUSH-4.jpg
2025-09-15 12:48:35,164 - INFO - Downloaded: GENOSYS-HR³-MATRIX-SCALP-BRUSH-5.jpg
2025-09-15 12:48:36,174 - INFO - Processing product 2/60: GENOSYS HR³ MATRIX CARBOXY SCALP REFRESHER α
2025-09-15 12:48:36,174 - INFO - Fetching: https://nurederm.com/urun/genosys-hr3-matrix-carboxy-scalp-refresher-a
2025-09-15 12:48:36,393 - INFO - Downloaded: GENOSYS-HR³-MATRIX-CARBOXY-SCALP-REFRESHER-α-1.jpg
2025-09-15 12:48:36,413 - INFO - Downloaded: GENOSYS-HR³-MATRIX-CARBOXY-SCALP-REFRESHER-α-2.jpg
2025-09-15 12:48:36,524 - INFO - Downloaded: GENOSYS-HR³-MATRIX-CARBOXY-SCALP-REFRESHER-α-3.jpg
2025-09-15 12:48:36,562 - INFO - Downloaded: GENOSYS-HR³-MATRIX-CARBOXY-SCALP-REFRESHER-α-4.jpg
2025-09-15 12:48:36,601 - INFO - Downloaded: GENOSYS-HR³-MATRIX-CARBOXY-SCALP-REFRESHER-α-5.jpg
2025-09-15 12:48:37,608 - INFO - Processing product 3/60: Skin Caring BB Cushion Camel 15 g+ 15g refill
2025-09-15 12:48:37,608 - INFO - Fetching: https://nurederm.com/urun/skin-caring-bb-cushion-camel-15-g-15g-refill
2025-09-15 12:48:37,752 - INFO - Downloaded: Skin-Caring-BB-Cushion-Camel-15-g-15g-refill-1.jpg
2025-09-15 12:48:37,775 - INFO - Downloaded: Skin-Caring-BB-Cushion-Camel-15-g-15g-refill-2.jpg
2025-09-15 12:48:37,819 - INFO - Downloaded: Skin-Caring-BB-Cushion-Camel-15-g-15g-refill-3.jpg
2025-09-15 12:48:37,858 - INFO - Downloaded: Skin-Caring-BB-Cushion-Camel-15-g-15g-refill-4.jpg
2025-09-15 12:48:37,898 - INFO - Downloaded: Skin-Caring-BB-Cushion-Camel-15-g-15g-refill-5.jpg
2025-09-15 12:48:38,900 - INFO - Processing product 4/60: BBC (Blemish Balm Cream) 50 ml
2025-09-15 12:48:38,901 - INFO - Fetching: https://nurederm.com/urun/bbc-blemish-balm-cream-50-ml
2025-09-15 12:48:39,046 - INFO - Downloaded: BBC-Blemish-Balm-Cream-50-ml-1.jpg
2025-09-15 12:48:39,067 - INFO - Downloaded: BBC-Blemish-Balm-Cream-50-ml-2.jpg
2025-09-15 12:48:39,112 - INFO - Downloaded: BBC-Blemish-Balm-Cream-50-ml-3.jpg
2025-09-15 12:48:39,162 - INFO - Downloaded: BBC-Blemish-Balm-Cream-50-ml-4.jpg
2025-09-15 12:48:39,210 - INFO - Downloaded: BBC-Blemish-Balm-Cream-50-ml-5.jpg
2025-09-15 12:48:40,220 - INFO - Processing product 5/60: Snow O2 Cleanser 500 ml
2025-09-15 12:48:40,220 - INFO - Fetching: https://nurederm.com/urun/snow-o2-cleanser-500-ml
2025-09-15 12:48:41,979 - INFO - Downloaded: Snow-O2-Cleanser-500-ml-1.jpg
2025-09-15 12:48:42,000 - INFO - Downloaded: Snow-O2-Cleanser-500-ml-2.jpg
2025-09-15 12:48:42,050 - INFO - Downloaded: Snow-O2-Cleanser-500-ml-3.jpg
2025-09-15 12:48:42,099 - INFO - Downloaded: Snow-O2-Cleanser-500-ml-4.jpg
2025-09-15 12:48:42,152 - INFO - Downloaded: Snow-O2-Cleanser-500-ml-5.jpg
2025-09-15 12:48:43,162 - INFO - Processing product 6/60: Snow O2 Cleanser 180 ml
2025-09-15 12:48:43,162 - INFO - Fetching: https://nurederm.com/urun/snow-o2-cleanser-180-ml
2025-09-15 12:48:43,313 - INFO - Downloaded: Snow-O2-Cleanser-180-ml-1.jpg
2025-09-15 12:48:43,333 - INFO - Downloaded: Snow-O2-Cleanser-180-ml-2.jpg
2025-09-15 12:48:43,378 - INFO - Downloaded: Snow-O2-Cleanser-180-ml-3.jpg
2025-09-15 12:48:43,430 - INFO - Downloaded: Snow-O2-Cleanser-180-ml-4.jpg
2025-09-15 12:48:43,485 - INFO - Downloaded: Snow-O2-Cleanser-180-ml-5.jpg
2025-09-15 12:48:44,494 - INFO - Processing product 7/60: SBT (Snow Booster Tonic) 1000 ml
2025-09-15 12:48:44,495 - INFO - Fetching: https://nurederm.com/urun/sbt-snow-booster-tonic-1000-ml
2025-09-15 12:48:44,645 - INFO - Downloaded: SBT-Snow-Booster-Tonic-1000-ml-1.jpg
2025-09-15 12:48:44,665 - INFO - Downloaded: SBT-Snow-Booster-Tonic-1000-ml-2.jpg
2025-09-15 12:48:44,708 - INFO - Downloaded: SBT-Snow-Booster-Tonic-1000-ml-3.jpg
2025-09-15 12:48:44,756 - INFO - Downloaded: SBT-Snow-Booster-Tonic-1000-ml-4.jpg
2025-09-15 12:48:44,807 - INFO - Downloaded: SBT-Snow-Booster-Tonic-1000-ml-5.jpg
2025-09-15 12:48:45,811 - INFO - Processing product 8/60: SBT (Snow Booster Tonic) 200 ml
2025-09-15 12:48:45,811 - INFO - Fetching: https://nurederm.com/urun/sbt-snow-booster-tonic-200-ml
2025-09-15 12:48:45,948 - INFO - Downloaded: SBT-Snow-Booster-Tonic-200-ml-1.jpg
2025-09-15 12:48:45,969 - INFO - Downloaded: SBT-Snow-Booster-Tonic-200-ml-2.jpg
2025-09-15 12:48:46,017 - INFO - Downloaded: SBT-Snow-Booster-Tonic-200-ml-3.jpg
2025-09-15 12:48:46,066 - INFO - Downloaded: SBT-Snow-Booster-Tonic-200-ml-4.jpg
2025-09-15 12:48:46,115 - INFO - Downloaded: SBT-Snow-Booster-Tonic-200-ml-5.jpg
2025-09-15 12:48:47,120 - INFO - Processing product 9/60: Intensive Problem Control Toner 200 ml
2025-09-15 12:48:47,120 - INFO - Fetching: https://nurederm.com/urun/intensive-problem-control-toner-200-ml
2025-09-15 12:48:47,271 - INFO - Downloaded: Intensive-Problem-Control-Toner-200-ml-1.jpg
2025-09-15 12:48:47,293 - INFO - Downloaded: Intensive-Problem-Control-Toner-200-ml-2.jpg
2025-09-15 12:48:47,338 - INFO - Downloaded: Intensive-Problem-Control-Toner-200-ml-3.jpg
2025-09-15 12:48:47,389 - INFO - Downloaded: Intensive-Problem-Control-Toner-200-ml-4.jpg
2025-09-15 12:48:47,440 - INFO - Downloaded: Intensive-Problem-Control-Toner-200-ml-5.jpg
2025-09-15 12:48:48,450 - INFO - Processing product 10/60: Intensive Problem Control Toner 500 ml
2025-09-15 12:48:48,450 - INFO - Fetching: https://nurederm.com/urun/intensive-problem-control-toner-500-ml
2025-09-15 12:48:48,599 - INFO - Downloaded: Intensive-Problem-Control-Toner-500-ml-1.jpg
2025-09-15 12:48:48,620 - INFO - Downloaded: Intensive-Problem-Control-Toner-500-ml-2.jpg
2025-09-15 12:48:48,663 - INFO - Downloaded: Intensive-Problem-Control-Toner-500-ml-3.jpg
2025-09-15 12:48:48,713 - INFO - Downloaded: Intensive-Problem-Control-Toner-500-ml-4.jpg
2025-09-15 12:48:48,765 - INFO - Downloaded: Intensive-Problem-Control-Toner-500-ml-5.jpg
2025-09-15 12:48:49,772 - INFO - Processing product 11/60: Skin Defender Lip & Eye Make Up Remover
2025-09-15 12:48:49,773 - INFO - Fetching: https://nurederm.com/urun/skin-defender-lip-eye-make-up-remover
2025-09-15 12:48:49,913 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-1.jpg
2025-09-15 12:48:49,934 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-2.jpg
2025-09-15 12:48:49,979 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-3.jpg
2025-09-15 12:48:50,041 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-4.jpg
2025-09-15 12:48:50,100 - INFO - Downloaded: Skin-Defender-Lip-Eye-Make-Up-Remover-5.jpg
2025-09-15 12:48:51,110 - INFO - Processing product 12/60: Epi Turnover Boosting Peeling Gel 100 ml
2025-09-15 12:48:51,110 - INFO - Fetching: https://nurederm.com/urun/epi-turnover-boosting-peeling-gel-100-ml
2025-09-15 12:48:51,488 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-1.jpg
2025-09-15 12:48:51,512 - INFO - Downloaded: Epi-Turnover-Boosting-Peeling-Gel-100-ml-2.jpg
